"Step","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_25","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_25__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_25__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_40","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_40__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_40__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_40","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_40__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_40__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_55","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_55__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_55__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_70","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_70__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/25_vs_70__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_70","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_70__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_70__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/40_vs_55","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/40_vs_55__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/40_vs_55__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_55","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_55__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/10_vs_55__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/40_vs_70","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/40_vs_70__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/40_vs_70__MAX","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/55_vs_70","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/55_vs_70__MIN","Seaquest_qs1bwflq_x - Probing_CosSim_Detail_Distance/55_vs_70__MAX"
"2000","0.9437498450279236","0.9437498450279236","0.9437498450279236","0.9374998211860657","0.9374998211860657","0.9374998211860657","0.9312497973442078","0.9312497973442078","0.9312497973442078","0.9499998092651367","0.9499998092651367","0.9499998092651367","0.9749998450279236","0.9749998450279236","0.9749998450279236","0.9562498331069946","0.9562498331069946","0.9562498331069946","0.9437498450279236","0.9437498450279236","0.9437498450279236","0.9687498211860657","0.9687498211860657","0.9687498211860657","0.9437498450279236","0.9437498450279236","0.9437498450279236","0.9749998450279236","0.9749998450279236","0.9749998450279236"
"4000","0.6999999284744263","0.6999999284744263","0.6999999284744263","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.6874999403953552","0.6874999403953552","0.6874999403953552","0.6749998927116394","0.6749998927116394","0.6749998927116394","0.6562499403953552","0.6562499403953552","0.6562499403953552","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6874999403953552","0.6874999403953552","0.6874999403953552","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.6562499403953552","0.6562499403953552","0.6562499403953552","0.6999999284744263","0.6999999284744263","0.6999999284744263"
"6000","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5499998927116394","0.5499998927116394","0.5499998927116394","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.5999999046325684","0.5999999046325684","0.5999999046325684"
"8000","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5562499165534973","0.5562499165534973","0.5562499165534973","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6562499403953552","0.6562499403953552","0.6562499403953552","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.5562499165534973","0.5562499165534973","0.5562499165534973","0.6124998927116394","0.6124998927116394","0.6124998927116394"
"10000","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.5624999403953552","0.5624999403953552","0.5624999403953552","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.5624999403953552","0.5624999403953552","0.5624999403953552","0.5687499046325684","0.5687499046325684","0.5687499046325684"
"12000","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6562499403953552","0.6562499403953552","0.6562499403953552","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.5374999046325684","0.5374999046325684","0.5374999046325684","0.6062499284744263","0.6062499284744263","0.6062499284744263"
"14000","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.6624999046325684","0.6624999046325684","0.6624999046325684","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.5749999284744263","0.5749999284744263","0.5749999284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263"
"16000","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6374999284744263","0.6374999284744263","0.6374999284744263"
"18000","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.5499998927116394","0.5499998927116394","0.5499998927116394","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6562499403953552","0.6562499403953552","0.6562499403953552","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6249999403953552","0.6249999403953552","0.6249999403953552"
"20000","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5624999403953552","0.5624999403953552","0.5624999403953552","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.6249999403953552","0.6249999403953552","0.6249999403953552"
"22000","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5249999165534973","0.5249999165534973","0.5249999165534973","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.5749999284744263","0.5749999284744263","0.5749999284744263","0.6249999403953552","0.6249999403953552","0.6249999403953552"
"24000","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5749999284744263","0.5749999284744263","0.5749999284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.6249999403953552","0.6249999403953552","0.6249999403953552"
"26000","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6624999046325684","0.6624999046325684","0.6624999046325684","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.5749999284744263","0.5749999284744263","0.5749999284744263","0.5312499403953552","0.5312499403953552","0.5312499403953552","0.6187499165534973","0.6187499165534973","0.6187499165534973"
"28000","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5999999046325684","0.5999999046325684","0.5999999046325684","0.6187499165534973","0.6187499165534973","0.6187499165534973"
"30000","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5624999403953552","0.5624999403953552","0.5624999403953552","0.6749998927116394","0.6749998927116394","0.6749998927116394","0.6249999403953552","0.6249999403953552","0.6249999403953552","0.5624999403953552","0.5624999403953552","0.5624999403953552","0.6312499046325684","0.6312499046325684","0.6312499046325684"
"32000","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.6374999284744263","0.6374999284744263","0.6374999284744263","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.6624999046325684","0.6624999046325684","0.6624999046325684","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.6187499165534973","0.6187499165534973","0.6187499165534973"
"34000","0.5749999284744263","0.5749999284744263","0.5749999284744263","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.5687499046325684","0.5687499046325684","0.5687499046325684","0.6624999046325684","0.6624999046325684","0.6624999046325684","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.5812498927116394","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6124998927116394","0.6124998927116394","0.6124998927116394","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.6187499165534973","0.6187499165534973","0.6187499165534973"
"36000","0.6187499165534973","0.6187499165534973","0.6187499165534973","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5937499403953552","0.5937499403953552","0.5937499403953552","0.6312499046325684","0.6312499046325684","0.6312499046325684","0.6062499284744263","0.6062499284744263","0.6062499284744263","0.5749999284744263","0.5749999284744263","0.5749999284744263","0.5874999165534973","0.5874999165534973","0.5874999165534973","0.5624999403953552","0.5624999403953552","0.5624999403953552","0.5374999046325684","0.5374999046325684","0.5374999046325684","0.5749999284744263","0.5749999284744263","0.5749999284744263"
